epoch,training_loss,training_seconds
1,0.29112615424981564,239.34552930000063
2,0.2880043467746897,219.27316670000073
3,0.2729421019157072,296.2294387000002
4,0.2653696272578278,288.3075499999977
5,0.2359894018414485,291.4823956
6,0.23213326329061376,291.3151340999975
7,0.21565128782436718,286.7936961999985
8,0.2098478442595841,294.36494089999906
9,0.18920286424788588,293.9788544000003
10,0.1771332909305771,291.98288010000033
11,0.17351759010613055,286.7728271999986
12,0.16460548609460696,296.2446952999999
13,0.1719430200255496,287.2372671000012
14,0.14773820601467863,282.35581589999856
15,0.1449885126715574,285.15419680000196
16,0.14789223163184353,290.1814395000001
17,0.14663784285880843,291.29278460000205
