subject_id,outer_test_fold,splitting_version,outer_random_state,git_commit,split_timestamp_utc
subject_chb01_chb21,0,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb02,2,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb03,1,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb04,3,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb05,2,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb06,4,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb07,1,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb08,2,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb10,2,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb11,1,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb12,3,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb13,0,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb14,1,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb15,4,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb16,1,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb17,0,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb18,0,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb19,2,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb20,3,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb22,4,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb23,3,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
subject_chb24,0,splitting_v1,42,583793b773a95c3e586da5406aafb5e7a97f33d5,2026-08-04T16:13:23.228310+00:00
