subject_id,channel_index,channel_name,sample_count,mean_uv,m2_uv2,variance_uv2,std_uv,recording_count
subject_chb01_chb21,0,FP1-F7,67629312,0.005404532058442716,240209637317.60425,3551.8568829682054,59.59745701762958,75
subject_chb01_chb21,1,F7-T7,67629312,-0.004859259353249383,97528498262.83209,1442.103954315432,37.975043835595926,75
subject_chb01_chb21,2,T7-P7,67629312,-0.0006733577506504173,80926176022.33228,1196.613918271596,34.59210774543228,75
subject_chb01_chb21,3,P7-O1,67629312,0.0021650225094864677,57033838325.380905,843.3301572753085,29.04014733563362,75
subject_chb01_chb21,4,FP1-F3,67629312,0.004461570962056549,244238288356.71426,3611.4264825984665,60.095145249832505,75
subject_chb01_chb21,5,F3-C3,67629312,0.0014508802348017586,96134761790.02849,1421.4954868981736,37.702725191929744,75
subject_chb01_chb21,6,C3-P3,67629312,-0.002697464872584539,64099560352.07766,947.8073701544924,30.7864803144902,75
subject_chb01_chb21,7,P3-O1,67629312,-0.001223834456139581,76565226778.73303,1132.130795279021,33.64715136945505,75
subject_chb01_chb21,8,FZ-CZ,67629312,0.0031049284897813043,120845720265.2559,1786.883774083875,42.271548044563914,75
subject_chb01_chb21,9,CZ-PZ,67629312,-0.0027817653310943428,137411986610.466,2031.840670070191,45.07594336306442,75
subject_chb01_chb21,10,FP2-F4,67629312,0.0030142256637566063,244333605814.6379,3612.835893031677,60.10687059755879,75
subject_chb01_chb21,11,F4-C4,67629312,-0.0025091029233637575,96562172795.59325,1427.8153945377005,37.78644458714925,75
subject_chb01_chb21,12,C4-P4,67629312,0.008364710916168333,70655843723.29288,1044.7517745455236,32.32262016832057,75
subject_chb01_chb21,13,P4-O2,67629312,-0.0017839721611666564,105341232191.32472,1557.626849602207,39.46678159670746,75
subject_chb01_chb21,14,FP2-F8,67629312,0.004566156160342677,239966693894.39233,3548.2646029933344,59.56731153068211,75
subject_chb01_chb21,15,F8-T8,67629312,-0.003085568766401391,102845941154.59987,1520.7302590125398,38.996541628874475,75
subject_chb01_chb21,16,P8-O2,67629312,0.0017017110478990869,113846579088.39677,1683.3910581316688,41.0291488838322,75
subject_chb02,0,FP1-F7,32501504,-0.0049015540480897785,95143050265.70912,2927.3430012872363,54.10492585049199,36
subject_chb02,1,F7-T7,32501504,0.0005261421428559707,79678112180.21774,2451.520772091585,49.512834417871744,36
subject_chb02,2,T7-P7,32501504,0.00023156673528787299,81758330213.99141,2515.524518926614,50.15500492400149,36
subject_chb02,3,P7-O1,32501504,-0.004539661768949472,55036020421.63483,1693.337650517183,41.15018408849689,36
subject_chb02,4,FP1-F3,32501504,-0.000980216946286431,85471448696.76929,2629.7690315121813,51.281273692374114,36
subject_chb02,5,F3-C3,32501504,-0.0017565675926901184,70060043472.44109,2155.593891053198,46.42837377136096,36
subject_chb02,6,C3-P3,32501504,0.0039176514910439055,76985389644.99924,2368.6716050124705,48.669000452161235,36
subject_chb02,7,P3-O1,32501504,-0.009840978387712484,76366956322.9365,2349.643767960292,48.47312418196595,36
subject_chb02,8,FZ-CZ,32501504,0.002243935122392205,48928116185.623314,1505.4108322378963,38.79962412495637,36
subject_chb02,9,CZ-PZ,32501504,0.0022413648378347977,131236415336.02791,4037.8566892174563,63.5441318236189,36
subject_chb02,10,FP2-F4,32501504,0.0011332732832868885,122265304956.38927,3761.8352971108434,61.3338022391474,36
subject_chb02,11,F4-C4,32501504,-0.000660986163858261,38683951774.473274,1190.2203594785422,34.499570424550825,36
subject_chb02,12,C4-P4,32501504,-0.003872453253836203,90598198943.68205,2787.5078932864785,52.796854956393744,36
subject_chb02,13,P4-O2,32501504,0.004647400711137587,90158481373.73999,2773.978747990862,52.668574577169466,36
subject_chb02,14,FP2-F8,32501504,-0.0026944326127681926,131771279835.02812,4054.313296856297,63.67348974931637,36
subject_chb02,15,F8-T8,32501504,0.0032727320276687644,72682881206.5145,2236.292856063353,47.28945819168743,36
subject_chb02,16,P8-O2,32501504,-0.0015958903932113107,45602712019.430824,1403.0954388889456,37.45791557052989,36
subject_chb03,0,FP1-F7,35022336,0.005496427882791633,163806614634.0975,4677.204131503321,68.39008796238912,38
subject_chb03,1,F7-T7,35022336,-0.000672937489568376,119819065049.84494,3421.2185346472875,58.49118339243349,38
subject_chb03,2,T7-P7,35022336,-0.0010527460895975935,46597143934.506386,1330.4978838220952,36.47599051187089,38
subject_chb03,3,P7-O1,35022336,-6.939011014868188e-05,26867887238.37887,767.1643387345398,27.697731653233625,38
subject_chb03,4,FP1-F3,35022336,0.00072792785543039,129982546658.84103,3711.4185261326097,60.92141270631049,38
subject_chb03,5,F3-C3,35022336,0.00198308815984829,33434593767.036694,954.6648677871372,30.897651493068807,38
subject_chb03,6,C3-P3,35022336,0.0018900856443925188,26445655162.632507,755.1082589874219,27.479233231431728,38
subject_chb03,7,P3-O1,35022336,-0.0009566871120897095,34142592818.558502,974.8805110703781,31.223076579196647,38
subject_chb03,8,FZ-CZ,35022336,0.00235143416939651,35055453529.94413,1000.9456116789048,31.637724502228423,38
subject_chb03,9,CZ-PZ,35022336,-0.002258151083343742,43745789380.07293,1249.0825677668367,35.342362226750446,38
subject_chb03,10,FP2-F4,35022336,-0.0002484321012591511,129720837315.67354,3703.9458851537925,60.86005163614136,38
subject_chb03,11,F4-C4,35022336,0.005813561636601628,62434302341.001396,1782.699541829574,42.22202673758774,38
subject_chb03,12,C4-P4,35022336,0.005574105256304674,60797553590.15222,1735.9651163803642,41.664914693064766,38
subject_chb03,13,P4-O2,35022336,-0.007258667684693572,28187063994.192883,804.8310653576301,28.369544680125376,38
subject_chb03,14,FP2-F8,35022336,-0.00017754862186313513,188019188401.66132,5368.550755770869,73.27039481107542,38
subject_chb03,15,F8-T8,35022336,0.005138758633420387,83655446575.51701,2388.6312602196786,48.8736254049122,38
subject_chb03,16,P8-O2,35022336,-0.002195371066111916,17943984385.64218,512.3582957356751,22.635332905342374,38
subject_chb04,0,FP1-F7,143829504,0.0028659664170933453,1274780168613.0825,8863.134010481483,94.14421920904907,42
subject_chb04,1,F7-T7,143829504,-0.0007185039185922275,635349733484.9248,4417.381106208395,66.4633816940456,42
subject_chb04,2,T7-P7,143829504,-0.0011799025681870946,525381725879.152,3652.8091335081845,60.43847395085505,42
subject_chb04,3,P7-O1,143829504,0.002272332967864418,396219020250.33344,2754.782636602386,52.48602325002711,42
subject_chb04,4,FP1-F3,143829504,0.0009049903329172315,1036329781757.1346,7205.2656300416265,84.88383609405048,42
