case_id,recording_id,channel_count,reviewed_channel_count,median_channel_rms_uv,maximum_channel_rms_uv,maximum_flatline_fraction,maximum_line_noise_ratio,maximum_high_frequency_ratio,reviewed_channel_fraction,recording_needs_review
chb01,chb01_01,23,22,24.7241270783272,102.84266501153495,0.0,0.9967633777669568,0.22587928842865582,0.9565217391304348,True
chb01,chb01_02,23,23,24.096953317504838,149.8785350624437,0.0,0.998968006062796,0.26138493663460943,1.0,True
chb01,chb01_03,23,23,34.33464943926397,131.90163369486484,0.0,0.9988823805621082,0.16756721265290078,1.0,True
chb01,chb01_04,23,23,29.830726339258064,148.66243412709406,0.0,0.9989378262487657,0.18047279744614,1.0,True
chb01,chb01_05,23,23,24.87935647017138,129.7040585658057,0.0,0.9983608336924874,0.22783347668604406,1.0,True
chb01,chb01_06,23,22,25.100519020266372,136.09355225115013,0.03509114583333333,0.998362501265652,0.2378453246127855,0.9565217391304348,True
chb01,chb01_07,23,22,24.50845086902659,130.4295331688048,0.0,0.9979495691582161,0.24023700599287354,0.9565217391304348,True
chb01,chb01_08,23,23,22.36173538383299,116.00391766619458,0.0,0.9994247718313274,0.5417072636741681,1.0,True
chb01,chb01_09,23,23,26.337467742673603,133.99260894083443,0.0,0.9995251718947996,0.607193320207276,1.0,True
chb01,chb01_10,23,23,23.948233716767383,149.22540153747357,0.0,0.999831046285365,0.7862670568772548,1.0,True
chb01,chb01_11,23,23,23.61356854895028,94.01657918659818,0.0,0.9998850975823116,0.8497706131763351,1.0,True
chb01,chb01_12,23,23,25.993091359283227,135.87607807036366,0.0,0.9999167642234141,0.840378357148265,1.0,True
chb01,chb01_13,23,22,23.32785245651294,97.52084973720397,0.0,0.9999333516817539,0.7693582362654595,0.9565217391304348,True
chb01,chb01_14,23,23,32.671916151825826,104.16569628074413,0.0,0.9999505018796063,0.7946008309783035,1.0,True
chb01,chb01_15,23,23,56.53057132631017,159.80246211372446,0.0,0.9998479036378498,0.4497751989075576,1.0,True
chb01,chb01_16,23,23,48.98708080348216,155.29569902119977,0.0,0.9998403481426864,0.44768646464802747,1.0,True
chb01,chb01_17,23,23,57.94246413331446,104.87089884157325,0.0,0.9998265113550286,0.4689425344168392,1.0,True
chb01,chb01_18,23,23,26.248539341156935,182.37519714580873,0.0,0.9998799657565852,0.5818630660011282,1.0,True
chb01,chb01_19,23,23,33.20104356995226,107.17458553618634,0.018489583333333334,0.9999470250032607,0.7664029860442407,1.0,True
chb01,chb01_20,23,23,25.815078388054488,235.88319862726948,0.023763020833333332,0.9999494708810793,0.7571363045230007,1.0,True
chb01,chb01_21,23,23,33.14998433002775,163.76640211973879,0.02421875,0.9997559087111187,0.30533796995956924,1.0,True
chb01,chb01_22,23,22,30.867868259891974,131.437988061255,0.0,0.9993823294341166,0.3084926587464159,0.9565217391304348,True
chb01,chb01_23,23,23,36.459794149489326,114.03429718174907,0.0,0.9997083456520068,0.3188714761690939,1.0,True
